Titre,Auteur,TTR,Mots_moyens
yourcenar_homme-obscur_une-belle-matinee.txt,Yourcenar,0.1796,17.8604
L_1959_Sarraute_Planetarium.txt,Sarraute,0.1207,13.2529
C_1951_Camus_Chute.txt,Camus,0.188,14.4018
L_1967_Simon_Histoire.txt,Simon,0.1392,66.3641
yourcenar_souvenirs-pieux.txt,Yourcenar,0.152,23.2233
yourcenar_archives-du-nord.txt,Yourcenar,0.157,22.9318
yourcenar_oeuvre-au-noir.txt,Yourcenar,0.1459,20.0154
C_1964_Sartre_Mots.txt,Sartre,0.18,16.2011
C_1967_Tournier_Vendredi.txt,Tournier,0.1676,20.2964
L_1955_RobbeGrillet_Jalousie.txt,RobbeGrillet,0.1318,19.9145
C_1975_Tournier_Meteores.txt,Tournier,0.1244,17.5198
yourcenar_memoires-hadrien.txt,Yourcenar,0.1475,19.1468
L_1962_Pinget_Inquisitoire.txt,Pinget,0.0718,133.8954
C_1950-1972_Green_Moira.txt,Green,0.1031,14.1003
L_1976_Sarraute_Disent.txt,Sarraute,0.1699,11.3769
