Titre,Période,Mots_moyens
Les Armoires vides,early,16.86
Ce qu'ils disent ou rien,early,24.8
La Femme gelée,early,18.74
La Place,late,16.66
Une Femme,late,19.73
Passion simple,late,10.53
Journal du dehors,late,15.37
Je ne suis pas sortie de ma nuit,late,12.25
La Honte,late,23.63
L'événement,late,18.5
Se Perdre,late,14.94
L'Autre Fille,late,20.93
L'Occupation,late,22.77
Les Années,late,25.07
L'Atelier noir,late,14.11
Retour à Yvetot,late,21.62
Regarde les lumières mon amour,late,16.54
Mémoire de fille,late,22.12
Le jeune homme,late,16.37
