Titre,Période,TTR
Les Armoires vides,Early,0.3474
Ce qu'ils disent ou rien,Early,0.3336
La Femme gelée,Early,0.3824
La Place,Late,0.4843
Une Femme,Late,0.4788
Passion simple,Late,0.5711
Journal du dehors,Late,0.5106
Je ne suis pas sortie de ma nuit,Late,0.4281
La Honte,Late,0.4794
L'événement,Late,0.4535
Se Perdre,Late,0.2654
L'Autre Fille,Late,0.5544
L'Occupation,Late,0.6129
Les Années,Late,0.3929
L'Atelier noir,Late,0.2787
Retour à Yvetot,Late,0.4561
Regarde les lumières mon amour,Late,0.508
Mémoire de fille,Late,0.4129
Le jeune homme,Late,0.6936
